Date,Open,High,Low,Close
09/15/2023,7673.08 ,7745.82 ,7673.08 ,7711.38 
09/14/2023,7525.99 ,7686.96 ,7525.99 ,7673.08 
09/13/2023,7527.53 ,7545.16 ,7490.37 ,7525.99 
09/12/2023,7496.87 ,7550.24 ,7496.34 ,7527.53 
09/11/2023,7478.19 ,7549.34 ,7467.35 ,7496.87 
09/08/2023,7441.72 ,7480.64 ,7402.10 ,7478.19 
09/07/2023,7426.14 ,7462.18 ,7385.92 ,7441.72 
09/06/2023,7437.93 ,7447.94 ,7369.64 ,7426.14 
09/05/2023,7452.76 ,7481.35 ,7389.80 ,7437.93 
09/04/2023,7464.54 ,7523.40 ,7448.31 ,7452.76 
09/01/2023,7439.13 ,7492.63 ,7439.13 ,7464.54 
08/31/2023,7473.67 ,7500.44 ,7439.13 ,7439.13 
08/30/2023,7464.99 ,7509.36 ,7464.73 ,7473.67 
08/29/2023,7338.58 ,7471.14 ,7338.58 ,7464.99 
08/25/2023,7333.63 ,7389.40 ,7326.97 ,7338.58 
08/24/2023,7320.53 ,7386.08 ,7320.53 ,7333.63 
08/23/2023,7270.76 ,7348.84 ,7270.76 ,7320.53 
08/22/2023,7257.82 ,7310.52 ,7257.58 ,7270.76 
08/21/2023,7262.43 ,7315.97 ,7250.88 ,7257.82 
08/18/2023,7310.21 ,7310.21 ,7215.76 ,7262.43 
08/17/2023,7356.88 ,7356.96 ,7305.00 ,7310.21 
08/16/2023,7389.64 ,7398.20 ,7338.53 ,7356.88 
08/15/2023,7507.15 ,7508.58 ,7369.69 ,7389.64 
08/14/2023,7524.16 ,7530.25 ,7476.45 ,7507.15 
08/11/2023,7618.60 ,7618.60 ,7507.84 ,7524.16 
08/10/2023,7587.30 ,7622.92 ,7572.61 ,7618.60 
08/09/2023,7527.42 ,7600.79 ,7527.42 ,7587.30 
08/08/2023,7554.49 ,7554.49 ,7487.47 ,7527.42 
08/07/2023,7564.37 ,7564.95 ,7505.15 ,7554.49 
08/04/2023,7529.16 ,7569.55 ,7487.36 ,7564.37 
08/03/2023,7561.63 ,7562.13 ,7437.88 ,7529.16 
08/02/2023,7666.27 ,7666.27 ,7522.24 ,7561.63 
08/01/2023,7699.41 ,7715.24 ,7650.15 ,7666.27 
07/31/2023,7694.27 ,7722.92 ,7667.81 ,7699.41 
07/28/2023,7692.76 ,7716.82 ,7680.19 ,7694.27 
07/27/2023,7676.89 ,7709.66 ,7662.40 ,7692.76 
07/26/2023,7691.80 ,7702.74 ,7630.00 ,7676.89 
07/25/2023,7678.59 ,7702.35 ,7676.50 ,7691.80 
07/24/2023,7663.73 ,7684.97 ,7633.29 ,7678.59 
07/21/2023,7646.05 ,7674.23 ,7639.45 ,7663.73 
07/20/2023,7588.20 ,7661.87 ,7585.85 ,7646.05 
07/19/2023,7453.69 ,7625.14 ,7453.69 ,7588.20 
07/18/2023,7406.42 ,7459.15 ,7398.53 ,7453.69 
07/17/2023,7434.57 ,7437.61 ,7395.67 ,7406.42 
07/14/2023,7440.21 ,7480.43 ,7421.31 ,7434.57 
07/13/2023,7416.11 ,7457.20 ,7409.25 ,7440.21 
07/12/2023,7282.52 ,7425.10 ,7282.52 ,7416.11 
07/11/2023,7273.79 ,7285.33 ,7239.23 ,7282.52 
07/10/2023,7256.94 ,7306.09 ,7238.72 ,7273.79 
07/07/2023,7280.50 ,7280.50 ,7229.57 ,7256.94 
07/06/2023,7442.10 ,7442.10 ,7267.62 ,7280.50 
07/05/2023,7519.72 ,7519.72 ,7434.66 ,7442.10 
07/04/2023,7527.26 ,7547.38 ,7518.36 ,7519.72 
07/03/2023,7531.53 ,7561.26 ,7513.93 ,7527.26 
06/30/2023,7471.69 ,7551.59 ,7471.69 ,7531.53 
06/29/2023,7500.49 ,7505.61 ,7460.53 ,7471.69 
06/28/2023,7461.46 ,7518.33 ,7461.46 ,7500.49 
06/27/2023,7453.58 ,7495.88 ,7428.11 ,7461.46 
06/26/2023,7461.87 ,7476.45 ,7401.18 ,7453.58 
06/23/2023,7502.03 ,7502.03 ,7439.72 ,7461.87 
06/22/2023,7559.18 ,7559.18 ,7458.35 ,7502.03 
06/21/2023,7569.31 ,7577.60 ,7520.92 ,7559.18 
06/20/2023,7588.48 ,7607.53 ,7566.33 ,7569.31 
06/19/2023,7642.72 ,7642.72 ,7581.84 ,7588.48 
06/16/2023,7628.26 ,7687.61 ,7627.83 ,7642.72 
06/15/2023,7602.74 ,7632.67 ,7584.78 ,7628.26 
06/14/2023,7594.78 ,7639.79 ,7579.27 ,7602.74 
06/13/2023,7570.69 ,7610.77 ,7556.32 ,7594.78 
06/12/2023,7562.36 ,7599.87 ,7556.81 ,7570.69 
06/09/2023,7599.74 ,7621.72 ,7546.50 ,7562.36 
06/08/2023,7624.34 ,7638.61 ,7587.99 ,7599.74 
06/07/2023,7628.10 ,7642.40 ,7604.42 ,7624.34 
06/06/2023,7599.99 ,7636.06 ,7556.16 ,7628.10 
06/05/2023,7607.28 ,7654.84 ,7594.13 ,7599.99 
06/02/2023,7490.27 ,7614.89 ,7490.02 ,7607.28 
06/01/2023,7446.14 ,7498.59 ,7445.30 ,7490.27 
05/31/2023,7522.07 ,7522.07 ,7446.14 ,7446.14 
05/30/2023,7627.20 ,7628.12 ,7516.52 ,7522.07 
05/26/2023,7570.87 ,7643.56 ,7556.92 ,7627.20 
05/25/2023,7627.10 ,7629.08 ,7569.17 ,7570.87 
05/24/2023,7762.95 ,7762.95 ,7590.24 ,7627.10 
05/23/2023,7770.99 ,7800.85 ,7747.09 ,7762.95 
05/22/2023,7756.87 ,7783.40 ,7750.53 ,7770.99 
05/19/2023,7742.30 ,7790.92 ,7742.13 ,7756.87 
05/18/2023,7723.23 ,7776.58 ,7723.23 ,7742.30 
05/17/2023,7751.08 ,7758.15 ,7713.03 ,7723.23 
05/16/2023,7777.70 ,7804.93 ,7741.29 ,7751.08 
05/15/2023,7754.62 ,7794.89 ,7754.62 ,7777.70 
05/12/2023,7730.58 ,7772.79 ,7729.01 ,7754.62 
05/11/2023,7741.33 ,7784.28 ,7679.61 ,7730.58 
05/10/2023,7764.09 ,7778.98 ,7727.12 ,7741.33 
05/09/2023,7778.38 ,7792.35 ,7735.08 ,7764.09 
05/05/2023,7702.64 ,7781.54 ,7702.64 ,7778.38 
05/04/2023,7788.37 ,7788.37 ,7691.25 ,7702.64 
05/03/2023,7773.03 ,7819.66 ,7773.03 ,7788.37 
05/02/2023,7870.57 ,7898.69 ,7773.03 ,7773.03 
04/28/2023,7831.58 ,7870.57 ,7791.63 ,7870.57 
04/27/2023,7852.64 ,7865.73 ,7816.83 ,7831.58 
04/26/2023,7891.13 ,7893.95 ,7825.93 ,7852.64 
04/25/2023,7912.20 ,7912.52 ,7863.85 ,7891.13 
04/24/2023,7914.13 ,7927.11 ,7877.58 ,7912.20 
04/21/2023,7902.61 ,7936.11 ,7886.46 ,7914.13 
04/20/2023,7898.77 ,7902.95 ,7876.35 ,7902.61 
04/19/2023,7909.44 ,7909.44 ,7871.43 ,7898.77 
04/18/2023,7879.51 ,7912.73 ,7879.51 ,7909.44 
04/17/2023,7871.91 ,7916.67 ,7871.91 ,7879.51 
